respondent_id,F1_channel,S1,S2,S3,S4,S5,A1,A2,B1,B2_1순위,B2_2순위,B3,B4,C1,C2,D1_5900,D1_6900,D1_7500,D1_8500,E1,E2,F2,_is_target,_is_student,_screenout,_flag_b4_pass,_flag_straightline,_flag_d1_nonmonotone,_flag_e1_swap_flip,_flag_unprimed_ok,_flag_structural_inconsistency,_backend,_B1_why,_B2_why
0,직장인 커뮤니티,40+,직장인,1인가구,1-2회,없다,먹어봤고 좋아한다,①향신료향 부담,2,향신료 부담 없음,5분 완조리,맛 상상 안 됨,그렇다,직접 만든다,가끔 산다,산다,산다,안 산다,안 산다,나(T2·매실청),향 부담이 내 제일 큰 걸림돌이라 그걸 콕 집어준 쪽이 더 와닿네요.,,False,False,40+,True,False,False,False,True,False,claude-live,"매실청으로 향 부담 덜었다는 건 솔직히 솔깃하네요. 근데 냉동 쌀면이 눅눅하진 않을지, 그게 진짜 팟타이 맛이 날지는 좀 반신반의합니다.","고수 피시소스 향이 부담이라 그걸 덜었다니 나 같은 사람한테 맞고, 퇴근하고 5분이면 되니 편하죠."
1,직장인 커뮤니티,30-34,직장인,1인가구,6+회,있다,먹어봤고 좋아한다,③접근성 부족,4,5분 완조리,국산 새우·숙주 등 재료,진짜 팟타이 아닐 것,그렇다,배달·외식,기존 방식 유지,산다,산다,산다,안 산다,나(T2·매실청),"가장 걸리는 게 매실청으로 낸 맛인데, 향 부담 없다고 콕 집어주니 오히려 그 부분이 해소되는 느낌이라 손이 더 간다.",,True,False,,True,False,False,False,True,False,claude-live,"팟타이 좋아해서 눈길은 가는데, 매실청으로 새콤함을 낸다는 게 솔직히 맛이 잘 상상이 안 된다. 아이디어는 괜찮은데 진짜 그 맛이 날지는 반신반의.",평소 먹고 싶어도 파는 데가 마땅찮았는데 집에서 5분이면 되고 재료도 국산이라니 그 점은 확실히 끌린다.
2,직장인 커뮤니티,40+,직장인,2인가구,0회,없다,먹어봤고 보통이다,③접근성 부족,3,향신료 부담 없음,5분 완조리,맛 상상 안 됨,그렇다,안 먹거나 참는다,기존 방식 유지,산다,산다,안 산다,안 산다,나(T2·매실청),매실청은 내가 평소 익숙한 맛이라 향 부담 없다는 말이 더 믿음이 가서다.,,False,False,40+;구매0회,True,False,False,False,True,False,claude-live,"매실청으로 새콤함을 냈다니 향 부담은 없겠다 싶어 그 점은 마음에 든다. 다만 냉동 쌀면 맛이 어떨지, 진짜 팟타이 맛이 날지는 좀 미덥지 않다.","고수나 피시소스 향에 거부감은 없어도 부담 덜었다니 좋고, 바쁠 때 5분이면 되는 것도 편해서다."
3,직장인 커뮤니티,25-29,직장인,1인가구,1-2회,없다,먹어봤고 보통이다,①향신료향 부담,2,향신료 부담 없음,5분 완조리,맛 상상 안 됨,아니다,배달·외식,가끔 산다,산다,산다,안 산다,안 산다,나(T2·매실청),향 부담이 내 제일 큰 걸림돌이라 그걸 잡았다는 메시지가 더 와닿는다.,,True,False,,False,False,False,False,True,False,claude-live,"향 부담 덜었다니까 나 같은 사람 노린 건 알겠는데, 매실청 팟타이가 무슨 맛일지 솔직히 상상이 잘 안 된다. 궁금하긴 함.","고수나 피시소스 향이 부담이라 그 부분 덜었다는 게 제일 끌리고, 혼자 사니까 5분이면 되는 것도 좋다."
4,직장인 커뮤니티,35-39,직장인,1인가구,6+회,없다,먹어봤고 좋아한다,⑥지금도 잘 먹음,4,5분 완조리,국산 새우·숙주 등 재료,진짜 팟타이 아닐 것,아니다,냉동/밀키트,가끔 산다,산다,산다,산다,안 산다,가(T1·완성도),"평소 사먹던 그 맛이 나느냐가 제일 중요한데, 매실청 얘기는 오히려 진짜 팟타이 맞나 싶어 갸웃하게 돼서요.",,True,False,,False,False,False,False,True,False,claude-live,"팟타이 자주 사먹는 편이라 반갑긴 한데, 타마린드 대신 매실청이라니 그 새콤한 맛이 잘 그려지질 않네요. 5분이면 되는 건 확실히 끌립니다.","퇴근하고 바로 해먹기엔 5분이 제일 크고, 새우랑 숙주 국산이면 재료는 믿음이 갑니다."
5,지인 소개,25-29,직장인,가족거주,0회,있다,먹어봤고 좋아한다,⑥지금도 잘 먹음,4,5분 완조리,국산 새우·숙주 등 재료,양(300g) 부족,그렇다,배달·외식,가끔 산다,산다,산다,산다,안 산다,가(T1·완성도),"향 부담은 원래 별로 없어서, 그냥 사 먹던 그 맛 그대로라는 쪽이 더 끌린다.",,False,False,구매0회,True,False,False,False,True,False,claude-live,팟타이 자주 먹는 편이라 냉동으로 5분이면 된다는 게 반갑다. 다만 1인분 300g이면 나한테는 좀 적어 보여서 5점까진 아니다.,평소에 먹고 싶어도 만들거나 시키기 번거로운데 5분이면 되고 재료도 국산이라 믿음이 간다.
6,직장인 커뮤니티,30-34,직장인,2인가구,0회,없다,먹어봤고 보통이다,③접근성 부족,1,5분 완조리,국산 새우·숙주 등 재료,진짜 팟타이 아닐 것,그렇다,배달·외식,기존 방식 유지,산다,산다,안 산다,안 산다,나(T2·매실청),"'진짜 그 맛 그대로'는 좀 과장 같고, 매실청으로 향 부담을 줄였다는 게 이 제품만의 차별점 같아 더 믿음이 간다.",,False,False,구매0회,True,False,False,False,True,False,claude-live,아이디어는 신선한데 매실청으로 낸 새콤함이 실제로 어떤 맛일지 잘 상상이 안 된다. 나쁘진 않고 한 번쯤 궁금은 하다.,평소 팟타이 파는 데를 찾기 어려운데 집에서 5분에 되고 재료도 국산이라면 손이 갈 것 같다.
7,직장인 커뮤니티,40+,대학원생,2인가구,6+회,없다,먹어봤고 좋아한다,⑥지금도 잘 먹음,4,5분 완조리,국산 새우·숙주 등 재료,양(300g) 부족,그렇다,냉동/밀키트,가끔 산다,산다,산다,산다,안 산다,가(T1·완성도),"향 부담은 원래 없는 편이라, 사 먹던 그 맛 그대로라는 완성도 쪽이 더 끌려요.",,False,True,40+,True,False,False,False,True,False,claude-live,평소 팟타이 자주 먹는 편이라 냉동으로 5분에 되면 솔깃하네요. 다만 매실청으로 새콤함 낸 건 맛이 어떨지 좀 궁금하긴 해요.,바쁠 때 금방 되고 재료도 국산이라면 한 번 사볼 만하죠.
8,직장인 커뮤니티,35-39,직장인,2인가구,3-5회,없다,먹어봤고 좋아한다,③접근성 부족,1,5분 완조리,국산 새우·숙주 등 재료,진짜 팟타이 아닐 것,그렇다,배달·외식,가끔 산다,산다,산다,안 산다,안 산다,나(T2·매실청),매실청으로 향 부담을 덜었다는 게 이 제품만의 차별점 같아서 더 눈길이 갑니다.,,True,False,,True,False,False,False,True,False,claude-live,팟타이 좋아하는데 집에서 해먹긴 번거로웠어서 냉동으로 5분이면 되는 게 반갑네요. 매실청으로 새콤함 낸다는 것도 궁금하고요.,퇴근하고 빨리 먹고 싶은데 재료까지 들어있어서 손 안 가는 게 제일 큽니다.
9,직장인 커뮤니티,40+,직장인,1인가구,3-5회,없다,먹어봤고 보통이다,③접근성 부족,2,5분 완조리,향신료 부담 없음,진짜 팟타이 아닐 것,그렇다,직접 만든다,가끔 산다,산다,산다,안 산다,안 산다,나(T2·매실청),향 부담 없다는 말이 나한테는 완성도 강조보다 더 와닿는다.,,False,False,40+,True,False,False,False,True,False,claude-live,향 부담 덜었다니 나 같은 사람한테는 무난해 보이긴 한다. 근데 매실청으로 팟타이 맛이 제대로 날지는 솔직히 상상이 잘 안 된다.,혼자 사는데 5분에 되고 고수향 부담도 없다니 그 정도면 손이 갈 만하다.
