respondent_id,F1_channel,S1,S2,S3,S4,S5,A1,A2,B1,B2_1순위,B2_2순위,B3,B4,C1,C2,D1_5900,D1_6900,D1_7500,D1_8500,E1,E2,F2,_is_target,_is_student,_screenout,_flag_b4_pass,_flag_straightline,_flag_d1_nonmonotone,_flag_e1_swap_flip,_flag_unprimed_ok,_backend,_B1_why,_B2_why
1,직장인 커뮤니티,30-34,직장인,1인가구,6+회,있다,먹어봤고 좋아한다,③접근성 부족,3,5분 완조리,국산 새우·숙주 등 재료,진짜 팟타이 아닐 것,그렇다,배달·외식,가끔 산다,산다,산다,산다,안 산다,가(T1·완성도),"매실청은 오히려 낯설어서, 사 먹던 그 맛 그대로라는 말이 더 안심되고 끌린다.",,True,False,,True,False,False,False,True,claude-live,아이디어는 신선한데 매실청으로 새콤함을 냈다니 이게 진짜 팟타이 맛이 날지 상상이 잘 안 간다. 여행 때 먹던 그 타마린드 맛이랑은 다를 것 같아 반신반의된다.,"혼자 살다 보니 빠르게 되는 게 제일 크고, 국산 재료라면 냉동이어도 좀 믿음이 간다."
4,직장인 커뮤니티,35-39,직장인,1인가구,6+회,없다,먹어봤고 좋아한다,③접근성 부족,4,5분 완조리,국산 새우·숙주 등 재료,진짜 팟타이 아닐 것,아니다,배달·외식,가끔 산다,산다,산다,산다,안 산다,나(T2·매실청),"가는 '그 맛 그대로'라고 우기는 느낌이라 오히려 못 믿겠고, 나는 매실청으로 바꿨다고 솔직히 말하니 어떤 맛일지 상상이 돼서 더 신뢰가 감.",,True,False,,False,False,False,False,True,claude-live,"향신료 부담이 원래 없어서 컨셉 자체는 끌리는데, 타마린드를 매실청으로 바꿨다는 게 진짜 팟타이 맛이 날지 좀 갸우뚱하네요. 그래도 5분이면 되니까 한 번 시도는 해볼만 함.","혼자 사니까 5분 완조리가 제일 크고, 국산 재료라니 냉동치고는 좀 믿음이 감."
8,직장인 커뮤니티,35-39,직장인,가족거주,6+회,없다,먹어봤고 보통이다,③접근성 부족,4,5분 완조리,향신료 부담 없음,맛 상상 안 됨,그렇다,배달·외식,가끔 산다,산다,산다,안 산다,안 산다,나(T2·매실청),매실청이라는 익숙한 재료로 향 부담을 잡았다는 게 더 구체적으로 와닿아서요.,,True,False,,True,False,False,False,True,claude-live,"매실청으로 새콤함 낸다는 게 신선하고, 향신료 부담 덜었다니 가족이랑 먹기 편할 것 같네요. 5분이면 되니까 평일 저녁에 딱이겠어요.",퇴근하고 빨리 차릴 수 있는 데다 향 부담까지 없으면 애들도 같이 먹기 좋으니까요.
14,직장인 커뮤니티,30-34,직장인,가족거주,1-2회,없다,먹어봤고 보통이다,③접근성 부족,3,향신료 부담 없음,5분 완조리,맛 상상 안 됨,그렇다,배달·외식,가끔 산다,산다,산다,안 산다,안 산다,나(T2·매실청),"향 부담 없다는 말이 저한테는 더 와닿아요, 완성도 얘기는 좀 뻔하고요.",,True,False,,True,False,False,False,True,claude-live,"매실청으로 새콤함을 냈다니까 향 부담은 없을 것 같아서 그건 좋네요. 근데 냉동 쌀면이 눅눅하진 않을지, 팟타이 맛이 제대로 날지는 솔직히 좀 의심돼요.",고수나 피시소스 향 빼고 매실청 새콤함이면 저는 부담 없이 먹을 것 같고 5분이면 간단해서요.
15,직장인 커뮤니티,30-34,직장인,가족거주,1-2회,없다,먹어봤고 좋아한다,③접근성 부족,4,5분 완조리,국산 새우·숙주 등 재료,진짜 팟타이 아닐 것,그렇다,배달·외식,가끔 산다,산다,산다,산다,안 산다,나(T2·매실청),매실청으로 새콤함을 낸다는 게 이 제품만의 특징이라 더 궁금하고 끌려요.,,True,False,,True,False,False,False,True,claude-live,팟타이 좋아하는데 집에서 해먹긴 애매했거든요. 매실청으로 새콤함 낸다는 발상이 신선하고 국산 재료라 믿음이 가네요.,퇴근하고 5분만에 되고 재료도 국산이면 부담 없이 손이 갈 것 같아요.
16,직장인 커뮤니티,35-39,직장인,가족거주,1-2회,없다,먹어봤고 좋아한다,③접근성 부족,4,5분 완조리,국산 새우·숙주 등 재료,진짜 팟타이 아닐 것,그렇다,배달·외식,가끔 산다,산다,산다,안 산다,안 산다,나(T2·매실청),매실청은 제가 잘 아는 맛이라 향 부담 없다는 말이 더 믿음이 갑니다.,,True,False,,True,False,False,False,True,claude-live,팟타이 좋아하는데 집에서 해먹기는 어려웠거든요. 매실청으로 새콤함 낸 건 익숙한 맛이라 오히려 끌리네요.,퇴근하고 빨리 해먹을 수 있으면서 재료도 국산이라니 안심이 됩니다.
18,지인 소개,35-39,자영업·프리랜서,2인가구,6+회,없다,먹어봤고 좋아한다,⑥지금도 잘 먹음,4,5분 완조리,국산 새우·숙주 등 재료,진짜 팟타이 아닐 것,그렇다,배달·외식,가끔 산다,산다,산다,안 산다,안 산다,가(T1·완성도),"향 부담은 원래 별로 없어서 완성도, 딱 그 맛 그대로라는 말이 더 끌린다.",,True,False,,True,False,False,False,True,claude-live,팟타이 좋아하는데 집에서 5분에 되면 편하겠다. 매실청으로 새콤함 낸다는 발상이 신선하긴 한데 진짜 그 맛이 날지는 좀 궁금하네.,"일하다 보면 시간 없어서 5분에 되는 게 제일 크고, 국산 새우 숙주면 재료도 믿음이 간다."
20,지인 소개,35-39,자영업·프리랜서,가족거주,3-5회,있다,먹어봤고 좋아한다,⑥지금도 잘 먹음,4,5분 완조리,국산 새우·숙주 등 재료,진짜 팟타이 아닐 것,그렇다,배달·외식,가끔 산다,산다,산다,안 산다,안 산다,가(T1·완성도),향신료 부담이 원래 없는 편이라 매실청보다는 사 먹던 그 맛 그대로라는 완성도 얘기가 더 와닿는다.,,True,False,,True,False,False,False,True,claude-live,여행 때 먹던 팟타이를 집에서 5분 만에 해먹을 수 있다니 솔직히 끌린다. 매실청으로 새콤함 낸다는 발상도 신선하네.,"일하다 보면 시간 없어서 빨리 되는 게 최고고, 국산 재료면 냉동이어도 좀 믿음이 간다."
22,직장인 커뮤니티,35-39,직장인,가족거주,3-5회,없다,먹어봤고 좋아한다,③접근성 부족,4,5분 완조리,국산 새우·숙주 등 재료,냉동품질 불신,그렇다,배달·외식,가끔 산다,산다,산다,산다,안 산다,나(T2·매실청),매실청 새콤함이 향 부담을 덜어준다는 점이 이 제품만의 차별점 같아서 더 끌려요.,,True,False,,True,False,False,False,True,claude-live,팟타이를 원래 좋아하는데 집에서 5분이면 된다니 꽤 솔깃하네요. 매실청으로 새콤함 낸다는 것도 우리 입맛에 잘 맞을 것 같아요.,퇴근하고 빨리 챙겨 먹기 좋으면서 재료도 국산이라 믿음이 가요.
23,지인 소개,30-34,직장인,가족거주,1-2회,있다,먹어봤고 좋아한다,③접근성 부족,3,5분 완조리,국산 새우·숙주 등 재료,진짜 팟타이 아닐 것,그렇다,배달·외식,가끔 산다,산다,산다,안 산다,안 산다,나(T2·매실청),"향 부담 덜었다는 말이 더 현실적으로 와닿고, '그 맛 그대로'는 좀 과장 같아서요.",,True,False,,True,False,False,False,True,claude-live,"팟타이 좋아해서 눈길은 가는데, 매실청으로 새콤함 낸다는 게 진짜 그 맛이 날지 상상이 잘 안 되네요. 아이디어는 나쁘지 않은 듯.",바쁠 때 5분이면 되고 재료도 국산이라니 그건 좀 안심이 돼요.
